Claim,Topic,Source organization,Source URL,Date accessed,Page using the claim,Whether the fact is time-sensitive,Next recommended review date
"Lifeline provides up to $9.25 monthly support, or up to $34.25 on qualifying Tribal lands",Program amount,USAC,https://www.fcc.gov/lifeline-consumers,2026-07-12,/,Yes,2026-10-12
"Lifeline provides up to $9.25 monthly support, or up to $34.25 on qualifying Tribal lands",Program amount,USAC,https://www.fcc.gov/lifeline-consumers,2026-07-12,/apply-now/,Yes,2026-10-12
"Lifeline provides up to $9.25 monthly support, or up to $34.25 on qualifying Tribal lands",Program amount,USAC,https://www.fcc.gov/lifeline-consumers,2026-07-12,/free-tablet-with-medicaid/,Yes,2026-10-12
"Lifeline provides up to $9.25 monthly support, or up to $34.25 on qualifying Tribal lands",Program amount,USAC,https://www.fcc.gov/lifeline-consumers,2026-07-12,/free-tablet-with-ebt/,Yes,2026-10-12
"Lifeline provides up to $9.25 monthly support, or up to $34.25 on qualifying Tribal lands",Program amount,USAC,https://www.fcc.gov/lifeline-consumers,2026-07-12,/lifeline-program/,Yes,2026-10-12
"Lifeline provides up to $9.25 monthly support, or up to $34.25 on qualifying Tribal lands",Program amount,USAC,https://www.fcc.gov/lifeline-consumers,2026-07-12,/lifeline-eligibility/,Yes,2026-10-12
"Lifeline provides up to $9.25 monthly support, or up to $34.25 on qualifying Tribal lands",Program amount,USAC,https://www.fcc.gov/lifeline-consumers,2026-07-12,/income-eligibility/,Yes,2026-10-12
"Lifeline provides up to $9.25 monthly support, or up to $34.25 on qualifying Tribal lands",Program amount,USAC,https://www.fcc.gov/lifeline-consumers,2026-07-12,/qualifying-programs/,Yes,2026-10-12
"Lifeline provides up to $9.25 monthly support, or up to $34.25 on qualifying Tribal lands",Program amount,USAC,https://www.fcc.gov/lifeline-consumers,2026-07-12,/documents-needed/,Yes,2026-10-12
"Lifeline provides up to $9.25 monthly support, or up to $34.25 on qualifying Tribal lands",Program amount,USAC,https://www.fcc.gov/lifeline-consumers,2026-07-12,/national-verifier-guide/,Yes,2026-10-12
"Lifeline provides up to $9.25 monthly support, or up to $34.25 on qualifying Tribal lands",Program amount,USAC,https://www.fcc.gov/lifeline-consumers,2026-07-12,/companies-near-me/,Yes,2026-10-12
"Lifeline provides up to $9.25 monthly support, or up to $34.25 on qualifying Tribal lands",Program amount,USAC,https://www.fcc.gov/lifeline-consumers,2026-07-12,/compare-lifeline-providers/,Yes,2026-10-12
"Lifeline provides up to $9.25 monthly support, or up to $34.25 on qualifying Tribal lands",Program amount,USAC,https://www.fcc.gov/lifeline-consumers,2026-07-12,/application-denied/,Yes,2026-10-12
"Lifeline provides up to $9.25 monthly support, or up to $34.25 on qualifying Tribal lands",Program amount,USAC,https://www.fcc.gov/lifeline-consumers,2026-07-12,/application-status/,Yes,2026-10-12
"Lifeline provides up to $9.25 monthly support, or up to $34.25 on qualifying Tribal lands",Program amount,USAC,https://www.fcc.gov/lifeline-consumers,2026-07-12,/one-per-household-rule/,Yes,2026-10-12
One Lifeline benefit is generally allowed per economic household,Household rule,USAC,https://www.lifelinesupport.org/what-is-a-household/,2026-07-12,/apply-now/,Yes,2026-10-12
One Lifeline benefit is generally allowed per economic household,Household rule,USAC,https://www.lifelinesupport.org/what-is-a-household/,2026-07-12,/lifeline-eligibility/,Yes,2026-10-12
One Lifeline benefit is generally allowed per economic household,Household rule,USAC,https://www.lifelinesupport.org/what-is-a-household/,2026-07-12,/income-eligibility/,Yes,2026-10-12
One Lifeline benefit is generally allowed per economic household,Household rule,USAC,https://www.lifelinesupport.org/what-is-a-household/,2026-07-12,/documents-needed/,Yes,2026-10-12
One Lifeline benefit is generally allowed per economic household,Household rule,USAC,https://www.lifelinesupport.org/what-is-a-household/,2026-07-12,/one-per-household-rule/,Yes,2026-10-12
One Lifeline benefit is generally allowed per economic household,Household rule,USAC,https://www.lifelinesupport.org/what-is-a-household/,2026-07-12,/blog/medicaid-lifeline-eligibility/,Yes,2026-10-12
One Lifeline benefit is generally allowed per economic household,Household rule,USAC,https://www.lifelinesupport.org/what-is-a-household/,2026-07-12,/blog/one-lifeline-per-household/,Yes,2026-10-12
"Medicaid, SNAP, SSI, FPHA, Veterans Pension or Survivors Benefit, and certain Tribal programs can qualify",Qualifying programs,USAC,https://www.lifelinesupport.org/how-to-qualify/,2026-07-12,/qualifying-programs/,Yes,2026-10-12
2026 income eligibility generally uses 135% of Federal Poverty Guidelines,Income eligibility,USAC,https://www.lifelinesupport.org/how-to-qualify/,2026-07-12,/lifeline-eligibility/,Yes,2026-10-12
2026 income eligibility generally uses 135% of Federal Poverty Guidelines,Income eligibility,USAC,https://www.lifelinesupport.org/how-to-qualify/,2026-07-12,/income-eligibility/,Yes,2026-10-12
2026 income eligibility generally uses 135% of Federal Poverty Guidelines,Income eligibility,USAC,https://www.lifelinesupport.org/how-to-qualify/,2026-07-12,/documents-needed/,Yes,2026-10-12
Requested recertification generally has a 60-day response period,Recertification,USAC,https://www.lifelinesupport.org/get-started/recertify/,2026-07-12,/lifeline-recertification/,Yes,2026-10-12
Requested recertification generally has a 60-day response period,Recertification,USAC,https://www.lifelinesupport.org/get-started/recertify/,2026-07-12,/blog/lifeline-recertification-explained/,Yes,2026-10-12
No-cost Lifeline service generally must be used at least once every 30 days,Service use,USAC,https://www.fcc.gov/lifeline-consumers,2026-07-12,/,Yes,2026-10-12
No-cost Lifeline service generally must be used at least once every 30 days,Service use,USAC,https://www.fcc.gov/lifeline-consumers,2026-07-12,/lifeline-program/,Yes,2026-10-12
No-cost Lifeline service generally must be used at least once every 30 days,Service use,USAC,https://www.fcc.gov/lifeline-consumers,2026-07-12,/companies-near-me/,Yes,2026-10-12
No-cost Lifeline service generally must be used at least once every 30 days,Service use,USAC,https://www.fcc.gov/lifeline-consumers,2026-07-12,/lifeline-service-requirements/,Yes,2026-10-12
No-cost Lifeline service generally must be used at least once every 30 days,Service use,USAC,https://www.fcc.gov/lifeline-consumers,2026-07-12,/blog/no-tablet-provider-available/,Yes,2026-10-12
No-cost Lifeline service generally must be used at least once every 30 days,Service use,USAC,https://www.fcc.gov/lifeline-consumers,2026-07-12,/blog/lifeline-service-vs-device/,Yes,2026-10-12
"Documents should show the applicant, qualifying fact, issuer, and relevant date",Documents,USAC,https://www.lifelinesupport.org/get-started/documents-needed/,2026-07-12,/apply-now/,Yes,2026-10-12
"Documents should show the applicant, qualifying fact, issuer, and relevant date",Documents,USAC,https://www.lifelinesupport.org/get-started/documents-needed/,2026-07-12,/documents-needed/,Yes,2026-10-12
"Documents should show the applicant, qualifying fact, issuer, and relevant date",Documents,USAC,https://www.lifelinesupport.org/get-started/documents-needed/,2026-07-12,/blog/ebt-card-snap-proof/,Yes,2026-10-12
"Documents should show the applicant, qualifying fact, issuer, and relevant date",Documents,USAC,https://www.lifelinesupport.org/get-started/documents-needed/,2026-07-12,/blog/documents-prevent-delays/,Yes,2026-10-12
ACP ended in 2024,ACP status,FCC,https://www.fcc.gov/acp,2026-07-12,/,Yes,2026-10-12
ACP ended in 2024,ACP status,FCC,https://www.fcc.gov/acp,2026-07-12,/apply-now/,Yes,2026-10-12
ACP ended in 2024,ACP status,FCC,https://www.fcc.gov/acp,2026-07-12,/free-tablet-with-medicaid/,Yes,2026-10-12
ACP ended in 2024,ACP status,FCC,https://www.fcc.gov/acp,2026-07-12,/free-tablet-with-ebt/,Yes,2026-10-12
ACP ended in 2024,ACP status,FCC,https://www.fcc.gov/acp,2026-07-12,/lifeline-program/,Yes,2026-10-12
ACP ended in 2024,ACP status,FCC,https://www.fcc.gov/acp,2026-07-12,/lifeline-eligibility/,Yes,2026-10-12
ACP ended in 2024,ACP status,FCC,https://www.fcc.gov/acp,2026-07-12,/income-eligibility/,Yes,2026-10-12
ACP ended in 2024,ACP status,FCC,https://www.fcc.gov/acp,2026-07-12,/qualifying-programs/,Yes,2026-10-12
ACP ended in 2024,ACP status,FCC,https://www.fcc.gov/acp,2026-07-12,/documents-needed/,Yes,2026-10-12
ACP ended in 2024,ACP status,FCC,https://www.fcc.gov/acp,2026-07-12,/national-verifier-guide/,Yes,2026-10-12
ACP ended in 2024,ACP status,FCC,https://www.fcc.gov/acp,2026-07-12,/companies-near-me/,Yes,2026-10-12
ACP ended in 2024,ACP status,FCC,https://www.fcc.gov/acp,2026-07-12,/compare-lifeline-providers/,Yes,2026-10-12
ACP ended in 2024,ACP status,FCC,https://www.fcc.gov/acp,2026-07-12,/application-denied/,Yes,2026-10-12
ACP ended in 2024,ACP status,FCC,https://www.fcc.gov/acp,2026-07-12,/application-status/,Yes,2026-10-12
ACP ended in 2024,ACP status,FCC,https://www.fcc.gov/acp,2026-07-12,/one-per-household-rule/,Yes,2026-10-12
A provider device promotion is separate from the federal service discount,Device offers,FCC and provider terms,https://www.fcc.gov/lifeline-consumers,2026-07-12,/,Yes,2026-10-12
A provider device promotion is separate from the federal service discount,Device offers,FCC and provider terms,https://www.fcc.gov/lifeline-consumers,2026-07-12,/apply-now/,Yes,2026-10-12
A provider device promotion is separate from the federal service discount,Device offers,FCC and provider terms,https://www.fcc.gov/lifeline-consumers,2026-07-12,/free-tablet-with-medicaid/,Yes,2026-10-12
A provider device promotion is separate from the federal service discount,Device offers,FCC and provider terms,https://www.fcc.gov/lifeline-consumers,2026-07-12,/free-tablet-with-ebt/,Yes,2026-10-12
A provider device promotion is separate from the federal service discount,Device offers,FCC and provider terms,https://www.fcc.gov/lifeline-consumers,2026-07-12,/lifeline-program/,Yes,2026-10-12
A provider device promotion is separate from the federal service discount,Device offers,FCC and provider terms,https://www.fcc.gov/lifeline-consumers,2026-07-12,/lifeline-eligibility/,Yes,2026-10-12
A provider device promotion is separate from the federal service discount,Device offers,FCC and provider terms,https://www.fcc.gov/lifeline-consumers,2026-07-12,/income-eligibility/,Yes,2026-10-12
A provider device promotion is separate from the federal service discount,Device offers,FCC and provider terms,https://www.fcc.gov/lifeline-consumers,2026-07-12,/qualifying-programs/,Yes,2026-10-12
A provider device promotion is separate from the federal service discount,Device offers,FCC and provider terms,https://www.fcc.gov/lifeline-consumers,2026-07-12,/documents-needed/,Yes,2026-10-12
A provider device promotion is separate from the federal service discount,Device offers,FCC and provider terms,https://www.fcc.gov/lifeline-consumers,2026-07-12,/national-verifier-guide/,Yes,2026-10-12
A provider device promotion is separate from the federal service discount,Device offers,FCC and provider terms,https://www.fcc.gov/lifeline-consumers,2026-07-12,/companies-near-me/,Yes,2026-10-12
A provider device promotion is separate from the federal service discount,Device offers,FCC and provider terms,https://www.fcc.gov/lifeline-consumers,2026-07-12,/compare-lifeline-providers/,Yes,2026-10-12
A provider device promotion is separate from the federal service discount,Device offers,FCC and provider terms,https://www.fcc.gov/lifeline-consumers,2026-07-12,/application-denied/,Yes,2026-10-12
A provider device promotion is separate from the federal service discount,Device offers,FCC and provider terms,https://www.fcc.gov/lifeline-consumers,2026-07-12,/application-status/,Yes,2026-10-12
A provider device promotion is separate from the federal service discount,Device offers,FCC and provider terms,https://www.fcc.gov/lifeline-consumers,2026-07-12,/one-per-household-rule/,Yes,2026-10-12
